,source,target
1123,sempit,heurin
1124,semua,sadaya
1125,semut,sireum
1126,senapan,bedil
1127,Senegal,Senegal
1128,Senin,senén
1129,senin,senén
1130,sensor,sénsor
1131,sensus,sénsus
1132,senyawa organik,sanyawa organik
1133,sepeda,sapédah
1134,sepeda motor,motor
1135,September,Séptémber
1136,sepuluh,sapuluh
1137,serat optik,serat optik
1138,seratus,saratus
1139,serdadu,pajurit
1140,seribu,sarebu
1141,Seribu Satu Malam,Sarébu Hiji Peuting
1142,serta,datang
1143,setom,setum
1144,setrika,istrikaan
1145,Shanghai,Shanghai
1146,siamang,siamang
1147,siapa,saha
1148,Siberia,Sibéria
1149,Sierra Leone,Sierra Leone
1150,singa,singa
1151,Singapura,Singapura
1152,sini,dieu
1153,sintaksis,sintaksis
1154,situ,ditu
1155,Skotlandia,Skotlandia
1156,skrotum,kanjut
1157,sontoloyo,béno
1158,spermatozoid,spermatozoon
1159,spesies,spésiés
1160,Sri Lanka,Sri Langka
1161,Stockholm,Stockholm
1162,suami,salaki
1163,suka,asih
1164,sukrosa,sukrosa
1165,sulfur,walirang
1166,Sumatra,Sumatra
1167,sumsum,sungsum tulang
1168,Sum sum tulang,sungsum tulang
1169,sumsum tulang,sungsum tulang
1170,sungai,walungan
1171,surat kabar,koran
1172,surya,panonpoe
1173,susu,susu
1174,sutra,sutra
1175,Sweden,Swédia
1176,Swedia,Swédia
1177,tabel periodik,tabel periodik
1178,tabu,pamali
1179,tabung,silinder
1180,tahu,nyaho
1181,tahun,taun
1182,tahun/milik kamu,taun
1183,tajam,seukeut
1184,tak,sanés
1185,takut,sieun
1186,talenan,rampadan
1187,tali,tali
1188,tanah,taneuh
1189,tanah air,lemah cai
1190,taNan,leuNeun
1191,tanduk,tanduk
1192,tangan,leuŋeun
1193,tante,ébé
1194,Tanzania,Tanzania
1195,tarik,bedol
1196,taring,sihung
1197,tarjani,curuk
1198,tarung,tarung
1199,Tata Surya,Sistim tatasurya
1200,tawa,seuri
1201,taŋan,leuŋeun
1202,tebal,kandel
1203,tegak,ajeg
1204,teguh,keyeng
1205,teh,entéh
1206,telaga,situ
1207,telanjang,ulutud
1208,telapak kaki,suku
1209,teliNa,Ceuli
1210,telinga,ceuli
1211,teliŋa,ceuli
1212,telor,endog
1213,telunjuk,curuk
1214,telur,endog
1215,tembakau,bako
1216,tembang,kawih
1217,tentara,pajurit
1218,tepat,leres
1219,terbaN,hiber
1220,terbang,hiber
1221,terbaŋ,hiber
1222,terima kasih,hatur nuhun
1223,terimakasih,hatur nuhun
1224,terkenal,katelah
1225,tertawa,seuri
1226,testis,téstis
1227,Tetun,Tetum
1228,tiamina,tiamin
1229,tidak,henteu
1230,tidur,kulem
1231,tiga,tilu
1232,tikam,tewek
1233,tikus,beurit
1234,timbangan,dacin
1235,timur,wétan
1236,Timur Tengah,Wétan Tengah
1237,tinggi,tumbila
1238,tipis,ipis
1239,titik G,G-Spot
1240,titit,kanjut
1241,tiup,tiup
1242,Togo,Togo
1243,toilet,jamban
1244,tolol,béno
1245,tonton,tingali
1246,transistor,transistor
1247,tua,kolot
1248,tujuh,tujuh
1249,tulaN,tulaN
1250,tulang,tulang
1251,tulang punggung,vertebra
1252,tulaŋ,tulang
1253,tumbang,labuh
1254,tumbuh,tuwuh
1255,tumbuh-tumbuhan,pepelakan
1256,tumpul,mintul
1257,tungku,hawu
1258,tusam,pines
1259,tusuk,nojos
1260,uang logam,duit logam
1261,uap,setum
1262,uap air,saab
1263,ubah,robah
1264,Uganda,Uganda
1265,Ukraina,Ukraina
1266,ular,oray
1267,ulat sutra,hileud sutra
1268,umur,yuswa
1269,unduh,unjal
1270,Uni Emirat Arab,Uni Émirat Arab
1271,Uni Soviet,Rusia
1272,unta,onta
1273,Uranus,Uranus
1274,urat,akar
1275,uretra,urétra
1276,usia,yuswa
1277,usus,peujit
1278,usus besar,peujit
1279,usus kecil,peujit
1280,vagina,liang heunceut
1281,Vanuatu,Vanuatu
1282,vektor,véktor
1283,Venezuela,Vénézuéla
1284,Venus,Vénus
1285,Vietnam,Viétnam
1286,vodka,vodka
1287,waktu,waktu
1288,wanita,awewe
1289,WC,jamban
1290,wijen,wijen
1291,Wiktionary,Wiktionary
1292,yad,panangan
1293,yang,anu
1294,yen,yén
1295,Yerusalem,Yerusalem
1296,Yesus,Yesus
1297,yodium,iodin
1298,Yokohama,Yokohama
1299,yumat,jumaah
1300,Yupiter,Jupiter
1301,Zalan,leumpaN
1302,ZantuN,jantuN
1303,zat air,hidrogén
1304,zat arang,karbon
1305,zat asam,oksigén
1306,zat asam arang,karbon dioksida
1307,zat pembakar,oksigén
1308,Zimbabwe,Zimbabwé
1309,zon,aiN
1310,zoroastrianisme,zoroastrianisme
